legislation_number,sponsor,party_of_sponsor,date_of_introduction,congress,state
H.R. 9290,"Ullman, Al [Rep.-D-OR-02]",Democratic,09/26/1977,95,OR
H.R. 9251,"Jones, James R. [Rep.-D-OK-01]",Democratic,09/22/1977,95,OK
H.R. 9214,"Neal, Stephen L. [Rep.-D-NC-05]",Democratic,09/20/1977,95,NC
H.R. 9179,"Bingham, Jonathan B. [Rep.-D-NY-22]",Democratic,09/19/1977,95,NY
H.R. 9169,"Lott, Trent [Rep.-R-MS-05]",Republican,09/16/1977,95,MS
H.R. 9090,"Foley, Thomas S. [Rep.-D-WA-05]",Democratic,09/14/1977,95,WA
H.R. 9075,"Jacobs, Andrew, Jr. [Rep.-D-IN-11]",Democratic,09/12/1977,95,IN
H.R. 9071,"Boggs, Corinne C. (Lindy) [Rep.-D-LA-02]",Democratic,09/12/1977,95,LA
H.R. 9019,"Mahon, George H. [Rep.-D-TX-19]",Democratic,09/09/1977,95,TX
H.R. 9005,"Natcher, William H. [Rep.-D-KY-02]",Democratic,09/08/1977,95,KY
H.R. 8992,"Johnson, Harold T. [Rep.-D-CA-01]",Democratic,09/08/1977,95,CA
H.R. 8927,"Cohen, William S. [Rep.-R-ME-02]",Republican,08/05/1977,95,ME
H.R. 8812,"Alexander, Bill [Rep.-D-AR-01]",Democratic,08/05/1977,95,AR
H.R. 8811,"Ullman, Al [Rep.-D-OR-02]",Democratic,08/05/1977,95,OR
H.R. 8810,"Goodling, William F. [Rep.-R-PA-19]",Republican,08/04/1977,95,PA
H.R. 8803,"Byron, Goodloe E. [Rep.-D-MD-06]",Democratic,08/04/1977,95,MD
H.R. 8777,"Applegate, Douglas [Rep.-D-OH-18]",Democratic,08/04/1977,95,OH
H.R. 8771,"Spellman, Gladys Noon [Rep.-D-MD-05]",Democratic,08/04/1977,95,MD
H.R. 8755,"Cotter, William R. [Rep.-D-CT-01]",Democratic,08/04/1977,95,CT
H.R. 8751,"Oakar, Mary Rose [Rep.-D-OH-20]",Democratic,08/03/1977,95,OH
H.R. 8701,"Teague, Olin E. [Rep.-D-TX-06]",Democratic,08/02/1977,95,TX
